Gene	nps_effect	dist_to_k4me1_enh_strict	dist_to_k4me2_enh_strict	dist_to_k4me1_enh_loose	dist_to_k4me2_enh_loose	within100kb_k4me1_enh	within100kb_k4me2_enh	within1Mb_k4me1_enh	within1Mb_k4me2_enh
ENSDARG00000093688	Unaff	310461	1416345	310461	106953	no	no	strict	loose
ENSDARG00000059246	Unaff	256170	1362054	256170	161244	no	no	strict	loose
ENSDARG00000020258	Unaff	4906	1311183	4906	4173	strict	loose	strict	loose
ENSDARG00000089307	Unaff	31511	643166	27686	26543	strict	loose	strict	strict
ENSDARG00000044251	Unaff	4206	140266	4206	66020	strict	loose	strict	strict
ENSDARG00000091419	Unaff	21934	1465313	21934	397696	strict	no	strict	loose
ENSDARG00000063161	Unaff	277925	2368777	184304	238480	no	no	strict	loose
ENSDARG00000103703	Unaff	241977	396231	130992	148161	no	no	strict	strict
ENSDARG00000002271	Unaff	511351	153147	106792	153147	no	no	strict	strict
ENSDARG00000025220	Unaff	27226	1458064	27226	5676	strict	loose	strict	loose
ENSDARG00000014329	Unaff	182159	170820	366	170820	loose	no	strict	strict
ENSDARG00000014047	Unaff	297927	286588	87655	286588	loose	no	strict	strict
ENSDARG00000078691	Unaff	657866	397579	218715	18679	no	loose	strict	strict
ENSDARG00000056678	Unaff	837333	814447	216019	181665	no	no	strict	strict
ENSDARG00000056649	Unaff	302559	279673	270008	279673	no	no	strict	strict
ENSDARG00000053884	Unaff	242966	622884	84011	173146	loose	no	strict	strict
ENSDARG00000089787	Unaff	324514	524394	6022	524394	loose	no	strict	strict
ENSDARG00000068995	Unaff	101457	115693	75923	115569	loose	no	strict	strict
ENSDARG00000068992	Unaff	68642	82878	68642	82754	strict	strict	strict	strict
ENSDARG00000068982	Unaff	62927	77163	62927	77039	strict	strict	strict	strict
ENSDARG00000078658	Unaff	60127	957235	60127	422364	strict	no	strict	strict
ENSDARG00000055113	Unaff	73862	1091323	29483	288276	strict	no	strict	loose
ENSDARG00000068640	Unaff	25625	1490513	25625	857792	strict	no	strict	loose
ENSDARG00000093503	Unaff	25569	1490457	25569	857736	strict	no	strict	loose
ENSDARG00000008247	Unaff	41749	1040753	41749	408032	strict	no	strict	loose
ENSDARG00000101476	Unaff	362197	636717	254401	3996	no	loose	strict	strict
ENSDARG00000103919	Unaff	6909	959617	6909	17151	strict	loose	strict	strict
ENSDARG00000041811	Unaff	53512	1006220	53512	63754	strict	loose	strict	loose
ENSDARG00000054155	Unaff	737023	1585770	187537	485078	no	no	strict	loose
ENSDARG00000038159	Unaff	41615	114476	5491	114476	strict	no	strict	strict
ENSDARG00000015978	Unaff	32323	37613	32323	37613	strict	strict	strict	strict
ENSDARG00000099913	Unaff	286177	49915	67368	42303	loose	strict	strict	strict
ENSDARG00000098683	Unaff	7963	501458	7963	45107	strict	loose	strict	strict
ENSDARG00000021059	Unaff	1391611	807984	1391611	131191	no	no	no	strict
ENSDARG00000078533	Unaff	1352401	768774	1352401	170401	no	no	no	strict
ENSDARG00000070922	Unaff	1164124	580497	1164124	358678	no	no	no	strict
ENSDARG00000077717	Unaff	261193	322325	261193	1168	no	loose	strict	strict
ENSDARG00000016783	Unaff	139667	438183	139667	104779	no	no	strict	strict
ENSDARG00000011020	Unaff	38811	290319	38811	137961	strict	no	strict	strict
ENSDARG00000104858	Unaff	12518	316612	12518	164254	strict	no	strict	strict
ENSDARG00000101048	Unaff	234299	654601	234299	502243	no	no	strict	strict
ENSDARG00000006219	Unaff	103255	1434814	103255	627559	no	no	strict	loose
ENSDARG00000070849	Unaff	241599	532306	241599	110289	no	no	strict	strict
ENSDARG00000076620	Unaff	254611	545318	254611	123301	no	no	strict	strict
ENSDARG00000027744	Unaff	19121	135034	19121	135034	strict	no	strict	strict
ENSDARG00000012899	Unaff	240394	244843	240394	244843	no	no	strict	strict
ENSDARG00000074848	Unaff	14245	520790	14054	1907	strict	loose	strict	strict
ENSDARG00000006242	Unaff	310673	2797886	310673	1532877	no	no	strict	no
ENSDARG00000070787	Unaff	11919	2606992	11919	1081189	strict	no	strict	no
ENSDARG00000009942	Unaff	61039	2533864	61039	1008061	strict	no	strict	no
ENSDARG00000058448	Unaff	222955	1582513	222955	56710	no	loose	strict	loose
ENSDARG00000105445	Unaff	742559	977560	108635	977560	no	no	strict	strict
ENSDARG00000070651	Unaff	224249	635030	675	318428	loose	no	strict	strict
ENSDARG00000057940	Unaff	51465	462246	51465	145644	strict	no	strict	strict
ENSDARG00000016200	Unaff	4221	1118133	4221	46142	strict	loose	strict	loose
ENSDARG00000011613	Unaff	271066	842644	271066	229257	no	no	strict	strict
ENSDARG00000070545	Unaff	297438	114101	22301	114101	loose	no	strict	strict
ENSDARG00000100636	Unaff	704694	175943	15666	14142	loose	loose	strict	strict
ENSDARG00000086881	Unaff	4535	394294	4535	158	strict	loose	strict	strict
ENSDARG00000070318	Unaff	205678	309187	205678	296737	no	no	strict	strict
ENSDARG00000042004	Unaff	96322	696325	96322	130146	strict	no	strict	strict
ENSDARG00000105454	Unaff	141162	19123	141162	19123	no	strict	strict	strict
ENSDARG00000078473	Unaff	318727	531456	166854	250647	no	no	strict	strict
ENSDARG00000076532	Unaff	2139	68466	1512	68466	strict	strict	strict	strict
ENSDARG00000021838	Unaff	123647	495979	89687	86763	loose	loose	strict	strict
ENSDARG00000113643	Unaff	367895	68475	367895	68228	no	strict	strict	strict
ENSDARG00000103158	Unaff	315637	186161	315637	186161	no	no	strict	strict
ENSDARG00000098118	Unaff	89199	593024	89199	34276	strict	loose	strict	strict
ENSDARG00000030583	Unaff	1248566	3053684	1160398	489	no	loose	no	loose
ENSDARG00000077177	Unaff	1003170	2808288	915002	63336	no	loose	loose	loose
ENSDARG00000009870	Unaff	357183	573437	357183	573437	no	no	strict	strict
ENSDARG00000074229	Unaff	65797	3504	65797	3504	strict	strict	strict	strict
ENSDARG00000096779	Unaff	530699	981822	179322	133916	no	no	strict	strict
ENSDARG00000045219	Unaff	37434	1407259	37434	135207	strict	no	strict	loose
ENSDARG00000038576	Unaff	629405	619604	629405	619604	no	no	strict	strict
ENSDARG00000074849	Unaff	147353	585679	147353	558634	no	no	strict	strict
ENSDARG00000079647	Unaff	160415	275132	95477	275132	loose	no	strict	strict
ENSDARG00000040110	Unaff	506520	309807	148020	309807	no	no	strict	strict
ENSDARG00000045167	Unaff	384531	893155	384531	888559	no	no	strict	strict
ENSDARG00000100666	Unaff	173528	1124007	173528	7835	no	loose	strict	loose
ENSDARG00000028957	Unaff	211512	738839	211512	193274	no	no	strict	strict
ENSDARG00000061631	Unaff	611754	936853	11259	26775	loose	loose	strict	strict
ENSDARG00000074688	Unaff	190826	518190	190826	1735	no	loose	strict	strict
ENSDARG00000061424	Unaff	70861	590653	69488	386457	strict	no	strict	strict
ENSDARG00000074270	Unaff	201727	313793	201727	313793	no	no	strict	strict
ENSDARG00000099184	Unaff	401305	221538	229706	221538	no	no	strict	strict
ENSDARG00000006413	Unaff	841748	1109196	841748	382637	no	no	strict	loose
ENSDARG00000104566	Unaff	6323	312431	6323	225970	strict	no	strict	strict
ENSDARG00000076780	Unaff	1491594	329212	585013	159895	no	no	loose	strict
ENSDARG00000007347	Unaff	603063	5753367	482942	936595	no	no	strict	loose
ENSDARG00000009136	Unaff	458722	5609026	458722	792254	no	no	strict	loose
ENSDARG00000115762	Unaff	235546	5385850	235546	569078	no	no	strict	loose
ENSDARG00000063572	Unaff	50062	5100127	50062	283355	strict	no	strict	loose
ENSDARG00000115989	Unaff	70101	5080088	70101	263316	strict	no	strict	loose
ENSDARG00000089355	Unaff	147293	1888726	54586	480747	loose	no	strict	loose
ENSDARG00000024561	Unaff	57627	1263263	57627	144624	strict	no	strict	loose
ENSDARG00000070084	Unaff	197805	276848	69622	105256	loose	no	strict	strict
ENSDARG00000029600	Unaff	534561	750332	170954	750332	no	no	strict	strict
ENSDARG00000074686	Unaff	891543	187113	330763	176531	no	no	strict	strict
ENSDARG00000010792	Unaff	12584	2235813	12584	639931	strict	no	strict	loose
ENSDARG00000018492	Unaff	53792	4775053	53792	3547	strict	loose	strict	loose
ENSDARG00000074624	Unaff	65403	5814313	64786	67026	strict	loose	strict	loose
ENSDARG00000019742	Unaff	72553	5821463	71936	74176	strict	loose	strict	loose
ENSDARG00000022614	Unaff	100257	4220	100257	3879	no	strict	strict	strict
ENSDARG00000010137	Unaff	264093	895445	261642	189868	no	no	strict	strict
ENSDARG00000039266	Unaff	256701	2002551	148371	3413	no	loose	strict	loose
ENSDARG00000093456	Unaff	418505	1757349	96751	14324	loose	loose	strict	loose
ENSDARG00000006003	Unaff	93569	629101	4500	63600	strict	loose	strict	strict
ENSDARG00000002509	Unaff	24770	560302	24770	2068	strict	loose	strict	strict
ENSDARG00000029818	Unaff	532187	2221	385026	2221	no	strict	strict	strict
ENSDARG00000068934	Unaff	201153	527970	201153	4981	no	loose	strict	strict
ENSDARG00000101082	Unaff	92042	698578	92042	558115	strict	no	strict	strict
ENSDARG00000004706	Unaff	185865	406318	185865	74410	no	loose	strict	strict
ENSDARG00000039034	Unaff	21663	125024	21663	125024	strict	no	strict	strict
ENSDARG00000023627	Unaff	44386	44770	44386	44770	strict	strict	strict	strict
ENSDARG00000002344	Unaff	40303	695103	40303	695103	strict	no	strict	strict
ENSDARG00000092493	Unaff	585168	1359537	362223	29587	no	loose	strict	loose
ENSDARG00000007960	Unaff	240970	1012746	15432	30585	loose	loose	strict	loose
ENSDARG00000087636	Unaff	1227191	61732	148901	61732	no	strict	loose	strict
ENSDARG00000093612	Unaff	31063	88747	31063	13657	strict	strict	strict	strict
ENSDARG00000100366	Unaff	46035	6231	46035	474	strict	strict	strict	strict
ENSDARG00000100558	Unaff	51138	11334	51138	4551	strict	strict	strict	strict
ENSDARG00000037291	Unaff	73370	2235515	59824	476597	strict	no	strict	loose
ENSDARG00000089302	Unaff	73650	2235795	59544	476877	strict	no	strict	loose
ENSDARG00000017741	Unaff	352049	3893334	352049	381600	no	no	strict	loose
ENSDARG00000061527	Unaff	593959	2672058	593959	220226	no	no	strict	loose
ENSDARG00000071567	Unaff	230725	1376361	230725	147957	no	no	strict	loose
ENSDARG00000021556	Unaff	35547	268988	35547	55392	strict	loose	strict	strict
ENSDARG00000055792	Unaff	3646	237087	3646	87293	strict	loose	strict	strict
ENSDARG00000006683	Unaff	130556	250895	3671	58847	loose	loose	strict	strict
ENSDARG00000014244	Unaff	124734	256717	9493	53025	loose	loose	strict	strict
ENSDARG00000092553	Unaff	15936	5108	15936	5108	strict	strict	strict	strict
ENSDARG00000087152	Unaff	46944	61561	46944	1031	strict	strict	strict	strict
ENSDARG00000052674	Unaff	14638	1130848	14638	43801	strict	loose	strict	loose
ENSDARG00000036161	Unaff	8047	1196782	8047	109735	strict	no	strict	loose
ENSDARG00000076526	Unaff	646226	27305	646226	27305	no	strict	strict	strict
ENSDARG00000099970	Unaff	3478	527454	687	4939	strict	loose	strict	strict
ENSDARG00000019963	Unaff	586650	3548	325925	3548	no	strict	strict	strict
ENSDARG00000103046	Unaff	3556	2450589	3556	138763	strict	no	strict	loose
ENSDARG00000104404	Unaff	3167	2457454	3167	131898	strict	no	strict	loose
ENSDARG00000098822	Unaff	44308	2498595	44308	90757	strict	loose	strict	loose
ENSDARG00000098660	Unaff	146228	2600515	146228	10733	no	loose	strict	loose
ENSDARG00000006345	Unaff	287660	1156688	287660	16313	no	loose	strict	loose
ENSDARG00000097812	Unaff	442253	1002095	442253	170906	no	no	strict	loose
ENSDARG00000097551	Unaff	631409	812939	592894	298548	no	no	strict	strict
ENSDARG00000097134	Unaff	714876	729472	509427	215081	no	no	strict	strict
ENSDARG00000096941	Unaff	590975	588589	368544	74198	no	loose	strict	strict
ENSDARG00000079238	Unaff	11652	9266	11652	9266	strict	strict	strict	strict
ENSDARG00000023190	Unaff	26396	28956	26396	27003	strict	strict	strict	strict
ENSDARG00000059029	Unaff	226512	229072	226512	227119	no	no	strict	strict
ENSDARG00000070019	Unaff	212853	250320	212853	248367	no	no	strict	strict
ENSDARG00000030949	Unaff	462759	588625	9122	14044	loose	loose	strict	strict
ENSDARG00000042825	Unaff	115358	471686	114624	146989	no	no	strict	strict
ENSDARG00000104058	Unaff	32261	286357	32261	10523	strict	loose	strict	strict
ENSDARG00000045628	Unaff	116186	102245	116186	10557	no	loose	strict	strict
ENSDARG00000057691	Unaff	465209	290327	465209	290327	no	no	strict	strict
ENSDARG00000018973	Unaff	60358	52411	60358	22980	strict	strict	strict	strict
ENSDARG00000097663	Unaff	8474	600583	8474	184506	strict	no	strict	strict
ENSDARG00000020946	Unaff	4548	135878	4548	126876	strict	no	strict	strict
ENSDARG00000003910	Unaff	96121	80714	96121	80714	strict	strict	strict	strict
ENSDARG00000041565	Unaff	8065	274796	8065	274796	strict	no	strict	strict
ENSDARG00000075834	Unaff	111213	224304	111213	224304	no	no	strict	strict
ENSDARG00000078355	Unaff	264593	30769	264593	30769	no	strict	strict	strict
ENSDARG00000069282	Unaff	224539	8597	224539	8597	no	strict	strict	strict
ENSDARG00000097770	Unaff	186677	46459	186677	46459	no	strict	strict	strict
ENSDARG00000075509	Unaff	227231	163767	92387	163767	loose	no	strict	strict
ENSDARG00000101859	Unaff	380801	823568	8942	14701	loose	loose	strict	strict
ENSDARG00000040955	Unaff	81161	4187929	81161	13061	strict	loose	strict	loose
ENSDARG00000006062	Unaff	27783	2343084	27783	220460	strict	no	strict	loose
ENSDARG00000021343	Unaff	154127	2023120	83920	99424	loose	loose	strict	loose
ENSDARG00000015822	Unaff	381357	1842429	312982	8652	no	loose	strict	loose
ENSDARG00000014208	Unaff	297734	1853066	229359	74817	no	loose	strict	loose
ENSDARG00000093176	Unaff	297734	1853066	229359	74817	no	loose	strict	loose
ENSDARG00000054087	Unaff	53652	1049592	53652	186973	strict	no	strict	loose
ENSDARG00000097804	Unaff	59495	12184	59495	11960	strict	strict	strict	strict
ENSDARG00000040538	Unaff	41909	1555460	41909	54345	strict	loose	strict	loose
ENSDARG00000102483	Unaff	234013	484970	67759	68209	loose	loose	strict	strict
ENSDARG00000079760	Unaff	193655	444612	27401	27851	loose	loose	strict	strict
ENSDARG00000091760	Unaff	3250	254207	3250	160008	strict	no	strict	strict
ENSDARG00000087950	Unaff	600499	259397	600499	259397	no	no	strict	strict
ENSDARG00000090232	Unaff	144386	12754	144386	12754	no	strict	strict	strict
ENSDARG00000068289	Unaff	80171	417168	26156	190508	strict	no	strict	strict
ENSDARG00000074676	Unaff	282884	165644	151122	162558	no	no	strict	strict
ENSDARG00000013478	Unaff	1318157	2784513	1318157	69121	no	loose	no	loose
ENSDARG00000004328	Unaff	876747	3235925	876747	520533	no	no	strict	loose
ENSDARG00000014571	Unaff	18959	3367341	18959	6174	strict	loose	strict	loose
ENSDARG00000037997	Unaff	732529	674551	85307	411050	loose	no	strict	strict
ENSDARG00000015681	Unaff	757302	248855	202848	91227	no	loose	strict	strict
ENSDARG00000076805	Unaff	266323	1272602	25295	30521	loose	loose	strict	loose
ENSDARG00000057143	Unaff	4977	431747	1667	544	strict	loose	strict	strict
ENSDARG00000023003	Unaff	193571	243153	182192	187838	no	no	strict	strict
ENSDARG00000056914	Unaff	384606	484988	384606	484988	no	no	strict	strict
ENSDARG00000030602	Unaff	83352	193448	83352	193448	strict	no	strict	strict
ENSDARG00000018425	Unaff	223983	630432	34915	89984	loose	loose	strict	strict
ENSDARG00000086847	Unaff	277990	523550	71885	196866	loose	no	strict	strict
ENSDARG00000055889	Unaff	18437	1065096	16754	740451	strict	no	strict	loose
ENSDARG00000005867	Unaff	229182	277953	220833	173981	no	no	strict	strict
ENSDARG00000011405	Unaff	123936	2024186	123936	466666	no	no	strict	loose
ENSDARG00000002971	Unaff	144437	2003685	144437	446165	no	no	strict	loose
ENSDARG00000042030	Unaff	386328	1761794	132981	204274	no	no	strict	loose
ENSDARG00000019962	Unaff	292540	848870	12817	9246	loose	loose	strict	strict
ENSDARG00000053291	Unaff	300817	840593	4540	969	loose	loose	strict	strict
ENSDARG00000101710	Unaff	87578	7050	1591	7050	strict	strict	strict	strict
ENSDARG00000101009	Unaff	6682	878521	2353	31510	strict	loose	strict	strict
ENSDARG00000039989	Unaff	406381	387582	406381	360422	no	no	strict	strict
ENSDARG00000076542	Unaff	191454	8808	191454	8808	no	strict	strict	strict
ENSDARG00000070046	Unaff	5488	467838	5488	460154	strict	no	strict	strict
ENSDARG00000028017	Unaff	2570	834102	2570	60921	strict	loose	strict	strict
ENSDARG00000098529	Unaff	13363	849194	10280	76013	strict	loose	strict	strict
ENSDARG00000040059	Unaff	198508	858259	13534	1909	loose	loose	strict	strict
ENSDARG00000070187	Unaff	3090	40613	3090	40613	strict	strict	strict	strict
ENSDARG00000053912	Unaff	37038	74561	7417	74561	strict	strict	strict	strict
ENSDARG00000017397	Unaff	59335	349711	59335	349711	strict	no	strict	strict
ENSDARG00000074796	Unaff	86095	998098	86095	314674	strict	no	strict	strict
ENSDARG00000016516	Unaff	369132	903955	135142	182150	no	no	strict	strict
ENSDARG00000052975	Unaff	374676	160008	374676	31900	no	loose	strict	strict
ENSDARG00000076638	Unaff	474669	60015	474669	60015	no	strict	strict	strict
ENSDARG00000099572	Unaff	136089	191899	136089	451	no	loose	strict	strict
ENSDARG00000017219	Unaff	38195	2131979	38195	29340	strict	loose	strict	loose
ENSDARG00000100019	Unaff	1267093	3125	2066	3125	loose	strict	loose	strict
ENSDARG00000074636	Unaff	163510	1427149	128171	19749	no	loose	strict	loose
ENSDARG00000112038	Unaff	2510	1874618	2510	92534	strict	loose	strict	loose
ENSDARG00000062248	Unaff	533006	1765468	480948	604923	no	no	strict	loose
ENSDARG00000078784	Unaff	348946	267043	242111	190304	no	no	strict	strict
ENSDARG00000043873	Unaff	94168	404680	94168	221071	strict	no	strict	strict
ENSDARG00000043972	Unaff	111921	1194503	12726	24534	loose	loose	strict	loose
ENSDARG00000015851	Unaff	204090	1102334	104895	67045	no	loose	strict	loose
ENSDARG00000113158	Unaff	42170	282573	42170	277205	strict	no	strict	strict
ENSDARG00000008803	Unaff	381753	706749	381753	146867	no	no	strict	strict
ENSDARG00000060113	Unaff	4712	1261693	4712	663318	strict	no	strict	loose
ENSDARG00000043334	Unaff	410877	964821	165164	352871	no	no	strict	strict
ENSDARG00000071005	Unaff	128597	792575	128597	56538	no	loose	strict	strict
ENSDARG00000044093	Unaff	331496	448232	331496	94891	no	loose	strict	strict
ENSDARG00000094258	Unaff	334955	451691	334955	98350	no	loose	strict	strict
ENSDARG00000093070	Unaff	339833	456569	339833	103228	no	no	strict	strict
ENSDARG00000001244	Unaff	458231	1259144	19746	488411	loose	no	strict	loose
ENSDARG00000079233	Unaff	3337	25492	3337	12982	strict	strict	strict	strict
ENSDARG00000014498	Unaff	133004	51646	14060	51646	loose	strict	strict	strict
ENSDARG00000090708	Unaff	192136	186728	192136	122436	no	no	strict	strict
ENSDARG00000042796	Unaff	273545	154586	273545	121001	no	no	strict	strict
ENSDARG00000076988	Unaff	491829	931185	476422	276459	no	no	strict	strict
ENSDARG00000013794	Unaff	715712	859144	715712	4951	no	loose	strict	strict
ENSDARG00000029045	Unaff	203826	209236	203826	209236	no	no	strict	strict
ENSDARG00000102333	Unaff	16728	566212	16728	39650	strict	loose	strict	strict
ENSDARG00000088507	Unaff	178699	302972	178699	302972	no	no	strict	strict
ENSDARG00000088298	Unaff	137879	262152	137879	262152	no	no	strict	strict
ENSDARG00000016775	Unaff	553067	428922	239854	399085	no	no	strict	strict
ENSDARG00000086411	Unaff	218897	609693	218897	130792	no	no	strict	strict
ENSDARG00000086453	Unaff	226196	616992	226196	138091	no	no	strict	strict
ENSDARG00000063719	Unaff	292503	2708735	32264	2620	loose	loose	strict	loose
ENSDARG00000100084	Unaff	2390	1611026	2390	61619	strict	loose	strict	loose
ENSDARG00000093864	Unaff	391572	4126048	391572	940122	no	no	strict	loose
ENSDARG00000062506	Unaff	615051	4349527	247358	716643	no	no	strict	loose
ENSDARG00000030871	Unaff	461516	3835679	7391	1183	loose	loose	strict	loose
ENSDARG00000002787	Unaff	46820	2049085	3044	5682	strict	loose	strict	loose
ENSDARG00000014634	Unaff	485702	589961	485702	589160	no	no	strict	strict
ENSDARG00000056621	Unaff	8751	10851	8751	10851	strict	strict	strict	strict
ENSDARG00000095451	Unaff	10171	2721464	10171	1090026	strict	no	strict	no
ENSDARG00000041108	Unaff	74304	1397363	74304	128806	strict	no	strict	loose
ENSDARG00000099876	Unaff	241794	206161	241794	206161	no	no	strict	strict
ENSDARG00000040564	Unaff	148781	928634	29535	429186	loose	no	strict	strict
ENSDARG00000068406	Unaff	39655	485412	39655	32083	strict	loose	strict	strict
ENSDARG00000055357	Unaff	1005377	142045	466233	142045	no	no	loose	strict
ENSDARG00000061397	Unaff	557905	874734	31459	2742	loose	loose	strict	strict
ENSDARG00000018904	Unaff	549145	1091078	54001	84079	loose	loose	strict	loose
ENSDARG00000088030	Unaff	529718	1110505	73428	73887	loose	loose	strict	loose
ENSDARG00000059373	Unaff	1109359	1208083	69962	7931	loose	loose	loose	loose
ENSDARG00000014569	Unaff	1099248	1197972	59851	18042	loose	loose	loose	loose
ENSDARG00000029043	Unaff	562492	661216	284159	2162	no	loose	strict	strict
ENSDARG00000100698	Unaff	649986	1375101	191091	339441	no	no	strict	loose
ENSDARG00000063726	Unaff	335703	2300656	297215	4292	no	loose	strict	loose
ENSDARG00000075545	Unaff	614513	2021846	18405	158902	loose	no	strict	loose
ENSDARG00000012688	Unaff	871688	1738912	264452	123914	no	no	strict	loose
ENSDARG00000022280	Unaff	864548	2503	4595	2503	loose	strict	strict	strict
ENSDARG00000001169	Unaff	883664	16466	23711	16466	loose	strict	strict	strict
ENSDARG00000018574	Unaff	980284	267220	133450	145762	no	no	strict	strict
ENSDARG00000063219	Unaff	646991	600513	199753	187413	no	no	strict	strict
ENSDARG00000023298	Unaff	221944	1090626	217871	427194	no	no	strict	loose
ENSDARG00000058089	Unaff	43911	912593	39838	605227	strict	no	strict	strict
ENSDARG00000031283	Unaff	70089	366227	70089	366227	strict	no	strict	strict
ENSDARG00000036698	Unaff	794110	374798	794110	527	no	loose	strict	strict
ENSDARG00000094230	Unaff	421042	747866	421042	372401	no	no	strict	strict
ENSDARG00000101029	Unaff	147867	991859	147867	125086	no	no	strict	strict
ENSDARG00000098845	Unaff	218195	1352731	218195	45364	no	loose	strict	loose
ENSDARG00000099609	Unaff	3111	1193651	3111	394713	strict	no	strict	loose
ENSDARG00000101891	Unaff	58569	901060	1921	102122	strict	no	strict	strict
ENSDARG00000003860	Unaff	262073	136312	21927	136312	loose	no	strict	strict
ENSDARG00000074359	Unaff	56613	274549	51344	52348	strict	loose	strict	strict
ENSDARG00000007863	Unaff	27153	304009	27153	22888	strict	loose	strict	strict
ENSDARG00000096834	Unaff	5904	325258	5904	1639	strict	loose	strict	strict
ENSDARG00000057010	Unaff	176479	204588	176479	204588	no	no	strict	strict
ENSDARG00000031494	Unaff	559401	628929	408320	628929	no	no	strict	strict
ENSDARG00000070475	Unaff	49335	566103	49335	510474	strict	no	strict	strict
ENSDARG00000032651	Unaff	13666	629282	13666	447295	strict	no	strict	strict
ENSDARG00000035949	Unaff	75058	421166	75058	331365	strict	no	strict	strict
ENSDARG00000035957	Unaff	204188	238279	204188	238279	no	no	strict	strict
ENSDARG00000035871	Unaff	341867	90237	341867	90237	no	strict	strict	strict
ENSDARG00000098942	Unaff	53188	209881	48700	79952	strict	loose	strict	strict
ENSDARG00000011564	Unaff	54638	903111	54638	903111	strict	no	strict	strict
ENSDARG00000027899	Unaff	339046	142232	339046	142232	no	no	strict	strict
ENSDARG00000054778	Unaff	682276	664958	490338	70549	no	loose	strict	strict
ENSDARG00000099256	Unaff	77243	59925	77243	59403	strict	strict	strict	strict
ENSDARG00000024209	Unaff	250522	248454	244397	248454	no	no	strict	strict
ENSDARG00000027612	Unaff	130191	197191	130191	197191	no	no	strict	strict
ENSDARG00000011146	Unaff	44627	282755	44627	282755	strict	no	strict	strict
ENSDARG00000099972	Unaff	206031	1329979	71665	107198	loose	no	strict	loose
ENSDARG00000078069	Unaff	806861	84035	709697	84035	no	strict	strict	strict
ENSDARG00000098064	Unaff	359303	531593	359303	67521	no	loose	strict	strict
ENSDARG00000008333	Unaff	683349	84230	563822	291	no	strict	strict	strict
ENSDARG00000078694	Unaff	547283	82676	427756	641	no	strict	strict	strict
ENSDARG00000097244	Unaff	478288	13681	358761	13681	no	strict	strict	strict
ENSDARG00000087421	Unaff	29846	463810	29846	50644	strict	loose	strict	strict
ENSDARG00000102184	Unaff	9475	27633	9475	27633	strict	strict	strict	strict
ENSDARG00000101766	Unaff	490448	23229	32020	23229	loose	strict	strict	strict
ENSDARG00000018272	Unaff	181903	268107	181903	149339	no	no	strict	strict
ENSDARG00000029248	Unaff	108474	695587	12073	632936	loose	no	strict	strict
ENSDARG00000077581	Unaff	238322	825435	141921	723568	no	no	strict	strict
ENSDARG00000062991	Unaff	340436	1962051	274974	412961	no	no	strict	loose
ENSDARG00000111651	Unaff	439492	2061107	175918	354518	no	no	strict	loose
ENSDARG00000043581	Unaff	705338	2326953	89797	88672	loose	loose	strict	loose
ENSDARG00000029856	Unaff	654249	32850	250371	32850	no	strict	strict	strict
ENSDARG00000006200	Unaff	9619	1278213	9619	1749	strict	loose	strict	loose
ENSDARG00000019103	Unaff	358398	584803	308368	584803	no	no	strict	strict
ENSDARG00000013946	Unaff	2166	1648001	2166	309085	strict	no	strict	loose
ENSDARG00000035858	Unaff	413710	2811615	245983	414348	no	no	strict	loose
ENSDARG00000061725	Unaff	330108	2895217	329585	497950	no	no	strict	loose
ENSDARG00000056186	Unaff	182255	4096537	20417	1160959	loose	no	strict	no
ENSDARG00000019362	Unaff	215516	4545606	2375	711890	loose	no	strict	loose
ENSDARG00000031372	Unaff	200271	4560851	12793	696645	loose	no	strict	loose
ENSDARG00000055996	Unaff	5333	4526309	5333	501707	strict	no	strict	loose
ENSDARG00000055900	Unaff	9361	3533757	5505	84627	strict	loose	strict	loose
ENSDARG00000093463	Unaff	11985	2424889	11985	418858	strict	no	strict	loose
ENSDARG00000007320	Unaff	132821	842507	92731	55399	loose	loose	strict	strict
ENSDARG00000038859	Unaff	252974	240338	64486	236145	loose	no	strict	strict
ENSDARG00000032175	Unaff	21722	1646753	21722	156154	strict	no	strict	loose
ENSDARG00000079725	Unaff	42650	1038554	34186	29077	strict	loose	strict	loose
ENSDARG00000012140	Unaff	29922	218849	29922	188420	strict	no	strict	strict
ENSDARG00000013576	Unaff	50068	2306	50068	2306	strict	strict	strict	strict
ENSDARG00000038695	Unaff	176051	191836	176051	191836	no	no	strict	strict
ENSDARG00000053836	Unaff	305223	922310	305223	329391	no	no	strict	strict
ENSDARG00000002031	Unaff	212862	1138301	212862	113400	no	no	strict	loose
ENSDARG00000094514	Unaff	128338	173996	128338	18716	no	loose	strict	strict
ENSDARG00000060054	Unaff	702165	95736	32061	39488	loose	strict	strict	strict
ENSDARG00000060041	Unaff	36218	158212	36218	8202	strict	loose	strict	strict
ENSDARG00000034503	Unaff	308016	99719	72911	71170	loose	strict	strict	strict
ENSDARG00000059866	Unaff	613019	192039	23844	192039	loose	no	strict	strict
ENSDARG00000103108	Unaff	169522	153415	169522	153415	no	no	strict	strict
ENSDARG00000098720	Unaff	289887	129090	289887	129090	no	no	strict	strict
ENSDARG00000100371	Unaff	255929	82376	255929	82081	no	strict	strict	strict
ENSDARG00000005915	Unaff	25800	147509	25800	147509	strict	no	strict	strict
ENSDARG00000079930	Unaff	62623	709441	62623	76885	strict	loose	strict	strict
ENSDARG00000103284	Unaff	136727	911284	136727	124836	no	no	strict	strict
